time,FLOW,TEMP,SALT,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OXY_oxy
2017-02-09,0.0745624724258711,5.73958333333333,0,0.292999683243586,0.723502304147465,1.44840629180313,92.7798263351969,368.600874012671
2017-02-10,0.070813430337058,2.37520833333333,0,0.298278956815542,0.781874039938556,1.56526285037748,93.1763213195353,402.737552370363
2017-02-11,0.0666992647105534,6.08520833333333,0,0.303558230387499,0.840245775729647,1.68211940895183,93.5728163038738,365.373185204542
2017-02-12,0.0656318662896589,9.559375,0,0.308837503959455,0.898617511520737,1.79897596752618,93.9693112882122,335.462288379892
2017-02-13,0.0656407448088663,5.7228125,0,0.314116777531412,0.956989247311828,1.91583252610053,94.3658062725506,368.758735047523
2017-02-14,0.0630472801543842,5.47302083333333,0,0.319396051103368,1.01536098310292,2.03268908467488,94.7623012568891,371.12375595264
2017-02-15,0.0639334042827866,6.11614583333333,0,0.324675324675325,1.07373271889401,2.14954564324923,95.1587962412275,365.086635060347
2017-02-16,0.0627350640980769,3.78635416666667,0,0.329954598247281,1.1321044546851,2.26640220182358,95.555291225566,387.793547728438
2017-02-17,0.0612027463313726,5.35322916666667,0,0.335233871819238,1.19047619047619,2.38325876039793,95.9517862099045,372.267163817435
2017-02-18,0.0609786605719569,7.4428125,0,0.340513145391194,1.24884792626728,2.50011531897228,96.3482811942429,353.153342782664
2017-02-19,0.0623004994528689,8.65520833333333,0,0.345792418963151,1.30721966205837,2.61697187754663,96.7447761785813,342.826285516253
2017-02-20,0.0608911908514568,8.48708333333333,0,0.351071692535107,1.36559139784946,2.73382843612098,97.1412711629198,344.226777814995
2017-02-21,0.0598939945113191,8.59958333333333,0,0.356350966107064,1.42396313364055,2.85068499469533,97.5377661472583,343.288543509256
2017-02-22,0.0616891178288935,8.88208333333333,0,0.36163023967902,1.48233486943164,2.96754155326968,97.9342611315967,340.952100882363
2017-02-23,0.0610665470220841,10.4319791666667,0,0.366909513250977,1.54070660522273,3.08439811184403,98.3307561159351,328.614324116698
2017-02-24,0.0606209299682919,11.2457291666667,0,0.372188786822933,1.59907834101382,3.20125467041838,98.7272511002736,322.446878778293
2017-02-25,0.0603622681579244,10.6013541666667,0,0.37746806039489,1.65745007680492,3.31811122899273,99.123746084612,327.313563100966
2017-02-26,0.0601218584428226,6.37104166666667,0,0.382747333966846,1.71582181259601,3.43496778756708,99.5202410689505,362.740358243116
2017-02-27,0.0599195019305107,6.46052083333333,0,0.388026607538803,1.7741935483871,3.55182434614143,99.9167360532889,361.922859963447
2017-02-28,0.0610472832315439,8.33875,0,0.380107697180868,1.77188940092166,3.54721158725033,100.511478529797,345.470709419241
2017-03-01,0.0619599633671248,10.3840625,0,0.372188786822933,1.76958525345622,3.54259882835924,101.106221006304,328.983966309252
2017-03-02,0.0611376313115916,7.61135416666667,0,0.364269876464998,1.76728110599078,3.53798606946815,101.700963482812,351.685568757677
2017-03-03,0.0602920109950216,5.49739583333333,0,0.356350966107064,1.76497695852535,3.53337331057706,102.29570595932,370.891832429711
2017-03-04,0.0595611519023004,4.34052083333333,0,0.348432055749129,1.76267281105991,3.52876055168596,102.890448435827,382.178525351571
2017-03-05,0.058941570374729,4.5534375,0,0.340513145391194,1.76036866359447,3.52414779279487,103.485190912335,380.057704245278
2017-03-06,0.0588557714069108,5.93104166666667,0,0.332594235033259,1.75806451612903,3.51953503390378,104.079933388843,366.806886977038
