time,FLOW,TEMP,SALT,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_poc,OGM_don,OGM_dop,OGM_pop,PHS_frp_ads,OGM_pon,OXY_oxy
2013-07-06,0.012901298,23.69625,0,2.577605322,2.449596774,0.067125471,328.6484137,32.86484137,3.263336347,0.118881175,1.002805107,0.067125471,24.34282503,248.7167784
2013-07-07,0.015198975,23.579,0,2.549889135,2.459677419,0.06633576,328.4835951,32.8483595,3.261188969,0.114013562,0.959786294,0.06633576,24.34113417,249.2686415
2013-07-08,0.014874913,23.46175,0,2.522172949,2.469758065,0.065546049,328.3187764,32.83187764,3.259041591,0.109145948,0.916767481,0.065546049,24.33944331,249.8226512
2013-07-09,0.012253598,23.3445,0,2.494456763,2.47983871,0.064756337,328.1539577,32.81539577,3.256894213,0.104278334,0.873748668,0.064756337,24.33775245,250.378821
2013-07-10,0.02985289,23.22725,0,2.466740576,2.489919355,0.063966626,327.9891391,32.79891391,3.254746835,0.09941072,0.830729855,0.063966626,24.33606159,250.9371648
2013-07-11,0.032031185,23.11,0,2.43902439,2.5,0.063176914,327.8243204,32.78243204,3.252599458,0.094543106,0.787711042,0.063176914,24.33437073,251.4976963
2013-07-12,0.014574141,23.2425,0,2.755780805,3.629032258,0.064079442,327.6595017,32.76595017,3.25045208,0.087859219,0.726653526,0.064079442,22.86925565,250.8644209
2013-07-13,0.015716455,23.375,0,3.072537219,4.758064516,0.064981969,327.4946831,32.74946831,3.248304702,0.081175331,0.66559601,0.064981969,21.40414058,250.2339371
2013-07-14,0.016296878,23.5075,0,3.389293633,5.887096774,0.065884496,327.3298644,32.73298644,3.246157324,0.074491443,0.604538494,0.065884496,19.93902551,249.6062248
2013-07-15,0.013073976,23.64,0,3.706050048,7.016129032,0.066787024,327.1650457,32.71650457,3.244009946,0.067807556,0.543480978,0.066787024,18.47391043,248.9812645
2013-07-16,0.013983051,24.67666667,0,4.022806462,8.14516129,0.067689551,327.0002271,32.70002271,3.241862568,0.072554085,0.58529721,0.067689551,17.00879536,244.1844403
2013-07-17,0.013891973,25.71333333,0,4.339562876,9.274193548,0.068592078,326.8354084,32.68354084,3.23971519,0.077300613,0.627113443,0.068592078,15.54368028,239.5458129
2013-07-18,0.012253598,26.75,0,4.65631929,10.40322581,0.069494606,326.6705897,32.66705898,3.237567812,0.082047142,0.668929676,0.069494606,14.07856521,235.0567756
2013-07-19,0.012346668,26.48,0,4.402914159,9.585253456,0.070397133,326.5057711,32.65057711,3.235420434,0.086793671,0.710745909,0.070397133,15.13061629,236.212002
2013-07-20,0.012348416,26.21,0,4.149509028,8.767281106,0.07129966,326.3409524,32.63409524,3.233273056,0.091637068,0.753433953,0.07129966,16.18266737,237.376962
2013-07-21,0.012467713,25.94,0,3.896103896,7.949308756,0.072202188,326.1761337,32.61761338,3.231125678,0.096480465,0.796121997,0.072202188,17.23471845,238.5517985
2013-07-22,0.013892186,25.67,0,3.642698765,7.131336406,0.073104715,326.0113151,32.60113151,3.2289783,0.101323862,0.838810041,0.073104715,18.28676953,239.7366565
2013-07-23,0.013770806,25.61666667,0,3.389293633,6.313364055,0.074007242,325.8464964,32.58464964,3.226830922,0.106167259,0.881498085,0.074007242,19.33882061,239.9719005
2013-07-24,0.012344668,25.56333333,0,3.135888502,5.495391705,0.07490977,325.6816778,32.56816778,3.224683544,0.111010655,0.924186129,0.07490977,20.39087169,240.2075424
2013-07-25,0.012591941,25.51,0,2.88248337,4.677419355,0.075812297,325.5168591,32.55168591,3.222536166,0.115854052,0.966874174,0.075812297,21.44292277,240.4435834
2013-07-26,0.012591941,25.24,0,2.161862528,4.838709677,0.07739172,325.3520404,32.53520405,3.220388788,0.112366807,0.933909539,0.07739172,21.98292689,241.6447062
2013-07-27,0.017511018,24.97,0,1.441241685,5,0.078971143,325.1872218,32.51872218,3.21824141,0.108879561,0.900944905,0.078971143,22.52293101,242.8562364
2013-07-28,0.017511018,24.7,0,0.720620843,5.161290323,0.080550566,325.0224031,32.50224031,3.216094033,0.105392315,0.867980271,0.080550566,23.06293513,244.0783268
2013-07-29,0.012246968,24.43,0,0,5.322580645,0.082129989,324.8575844,32.48575845,3.213946655,0.101905069,0.835015636,0.082129989,23.60293925,245.3111322
2013-07-30,0.012246968,24.05,0,0.51736881,5.053763441,0.082129989,324.6927659,32.46927658,3.211799277,0.119147562,0.990198071,0.082129989,23.33506124,247.064647
2013-07-31,0.012536053,23.67,0,1.03473762,4.784946237,0.082129989,324.5279472,32.45279471,3.209651899,0.136390055,1.145380505,0.082129989,23.06718323,248.8401441
2013-08-01,0.015424353,23.29,0,1.55210643,4.516129032,0.082129989,324.3631285,32.43631285,3.207504521,0.153632548,1.30056294,0.082129989,22.79930522,250.6380785
2013-08-02,0.015135268,23.32571429,0,2.106430155,4.798387097,0.083709411,324.1983099,32.41983098,3.205357143,0.132854375,1.111979965,0.083709411,21.94339703,250.4681319
2013-08-03,0.012249178,23.36142857,0,2.66075388,5.080645161,0.085288834,324.0334912,32.40334912,3.203209765,0.112076203,0.923396991,0.085288834,21.08748884,250.2983872
2013-08-04,0.012249178,23.39714286,0,3.215077605,5.362903226,0.086868257,323.8686725,32.38686725,3.201062387,0.09129803,0.734814016,0.086868257,20.23158065,250.128844
2013-08-05,0.012246968,23.43285714,0,3.76940133,5.64516129,0.08844768,323.7038539,32.37038538,3.198915009,0.070519858,0.546231041,0.08844768,19.37567246,249.959502
2013-08-06,0.016926643,23.46857143,0,3.03030303,5.537634409,0.092659474,323.5390352,32.35390352,3.196767631,0.08685825,0.689064775,0.092659474,20.20297124,249.7903607
2013-08-07,0.017408211,23.50428571,0,2.29120473,5.430107527,0.096871269,323.3742165,32.33742165,3.194620253,0.103196642,0.831898509,0.096871269,21.03027002,249.6214197
2013-08-08,0.020512793,23.54,0,1.55210643,5.322580645,0.101083063,323.2093979,32.32093978,3.192472875,0.119535034,0.974732242,0.101083063,21.8575688,249.4526787
2013-08-09,0.022462778,24.415,0,1.92165558,5.483870968,0.101083063,323.0445792,32.30445792,3.190325497,0.107378108,0.865319908,0.101083063,21.30740293,245.3799387
2013-08-10,0.01468158,25.29,0,2.29120473,5.64516129,0.101083063,322.8797605,32.28797605,3.188178119,0.095221182,0.755907573,0.101083063,20.75723705,241.4214954
2013-08-11,0.014970581,26.165,0,2.66075388,5.806451613,0.101083063,322.7149419,32.27149418,3.186030741,0.083064256,0.646495239,0.101083063,20.20707118,237.5720783
2013-08-12,0.015547391,27.04,0,3.03030303,5.967741935,0.101083063,322.5501232,32.25501232,3.183883363,0.07090733,0.537082904,0.101083063,19.65690531,233.8266578
2013-08-13,0.014640483,26.83375,0,3.39985218,6.129032258,0.101083063,322.3853045,32.23853045,3.181735986,0.080981595,0.627751293,0.101083063,19.10673943,234.7003972
